PFA Sub-Area Code,Description
AK,Alaska
CAN,Canada
GL,Greenland (Denmark)
HI,Hawaii
L48,Lower 48 States
NA,North America (non-vascular use only)
NAV,Navassa Island (the sole Caribbean member of the U.S. Minor Outlying Islands)
PB,Pacific Basin
PR,Puerto Rico
SPM,St. Pierre and Miquelon (France)
VI,U.S. Virgin Islands
