Code  ,Native Status Jurisdiction
AK,Alaska
CAN,Canada
GL,Greenland (Denmark)
HI,Hawaii
L48,Lower 48 States
NA,North America (only non-vascular plants and lichens have Native Status given at this level
NAV,Navassa Island (the sole Caribbean member of the U.S. Minor Outlying Islands)
PB,Pacific Basin excluding Hawaii
PR,Puerto Rico
SPM,St. Pierre and Miquelon (France)
VI,U.S. Virgin Islands
